State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Ohio;Bachelors Degree;PE;Full Time;Power/Electrical;Private;96050
North Carolina;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;90000
Ohio;Bachelors Degree;EIT;Full Time;Geotechnical;Private;69000
District of Columbia;Drafting school;None;Full Time;Land Development;Private;123000
Florida;Bachelors Degree;EIT;Full Time;Water Resources;Private;78000
Virginia;Bachelors Degree;PE;Full Time;Transportation;Private;107000
Oklahoma;Bachelors Degree;PE;Full Time;Land Development;Private;210000
California;Bachelors Degree;EIT;Full Time;Transportation;Public;103000
Washington;Masters Degree;None;Full Time;Transportation;Private;74000
Florida;Bachelors Degree;PE;Full Time;Land Development;Private;98750
Massachusetts;Bachelors Degree;EIT;Full Time;Transportation;Private;115000
Connecticut;Bachelors Degree;PE;Full Time;Transportation;Private;112000
North Carolina;Bachelors Degree;PE;Full Time;Land Development;Private;120000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;70000
New York;Bachelors Degree;EIT;Full Time;Transportation;Public;69890
Michigan;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;73000
Oregon;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;80080
Florida;Masters Degree;EIT;Full Time;Transportation;Public;67000
New York;Masters Degree;EIT;Full Time;Structural;Private;85000
California;Bachelors Degree;PE;Full Time;Construction/Field;Private;185000
New York;Bachelors Degree;EIT;Full Time;Transportation;Public;82500
Wisconsin;Masters Degree;PE;Full Time;Power/Electrical;Private;108000
Nevada;Bachelors Degree;PE;Full Time;Land Development;Private;90000
Colorado;Bachelors Degree;PE;Full Time;Water Resources;Private;97850
Connecticut;Bachelors Degree;PE;Full Time;Bridges;Private;130000
Massachusetts;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;134000
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;95557
Kentucky;Masters Degree;PE;Full Time;Bridges;Public;100000
Virginia;Bachelors Degree;PE;Full Time;Government/Municipal;Public;105000
Massachusetts;Masters Degree;EIT;Full Time;Structural;Public;78000
Ohio;Bachelors Degree;PE;Full Time;Land Development;Private;104000
California;Bachelors Degree;None;Working in a different industry;Tech;Private;105000
California;Bachelors Degree;None;Full Time;Government/Municipal;Private;76000
New Jersey;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;65000
Arizona;Bachelors Degree;PE;Full Time;Water Resources;Private;110000
Oregon;Bachelors Degree;EIT;Full Time;Transportation;Public;105000
Rhode Island;Bachelors Degree;PE;Full Time;Government/Municipal;Public;95000
Kentucky;Bachelors Degree;PE;Full Time;Transportation;Private;82000
